Run,Assay Type,BioProject,BioSample,Center Name,collecting_institution,Collection_Date,collector_name,Consent,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,External_Id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(region_and_locality),host_health_state,host_scientific_name,host_sex,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,sample_capture_status,Sample Name,Sample_Name,SRA_accession,SRA Study,Submitter_Id,Title,host_subject_id,AssemblyName,AvgSpotLen,Bases,Bytes,DATASTORE filetype,DATASTORE provider,DATASTORE region
ERR5698664,AMPLICON,PRJEB43269,SAMEA8238995,UMR 1283/8199,"Synlab\, Haut-de-France",2021-03-12,not provided,public,2021-04-22,2021-04-22,2021-04-12,2021-03-12,ERX5414077,SAMEA8238995,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:30:38Z,2021-03-12T16:04:55Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8238995,cov-100001691005,ERS5925266,ERP127218,cov-100001691005,SARS-Cov2 Haut-de-France samples,120321-71,assembly,70,85035139,15157271,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1"
ERR5349037,AMPLICON,PRJEB43269,SAMEA8124929,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-13,not provided,public,2021-04-22,2021-04-22,2021-02-23,2021-02-23,ERX5137413,SAMEA8124929,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:26:51Z,2021-02-23T16:29:50Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8124929,cov-100001611930,ERS5811902,ERP127218,cov-100001611930,SARS-Cov2 Haut-de-France samples,,assembly,71,356026789,56673393,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1"
ERR5384568,AMPLICON,PRJEB43269,SAMEA8158182,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-22,not provided,public,2021-04-22,2021-04-22,2021-03-01,2021-03-01,ERX5169509,SAMEA8158182,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:30:37Z,2021-03-01T15:09:17Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8158182,cov-100001691278,ERS5844950,ERP127218,cov-100001691278,SARS-Cov2 Haut-de-France samples,220221-40,assembly,71,59538256,10324102,"sra,bam","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1"
ERR5384570,AMPLICON,PRJEB43269,SAMEA8158184,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-22,not provided,public,2021-04-22,2021-04-22,2021-03-01,2021-03-01,ERX5169511,SAMEA8158184,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:30:37Z,2021-03-01T15:09:17Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8158184,cov-881046170370,ERS5844952,ERP127218,cov-881046170370,SARS-Cov2 Haut-de-France samples,220221-42,assembly,71,91303318,15482875,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1"
ERR5384571,AMPLICON,PRJEB43269,SAMEA8158185,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-22,not provided,public,2021-04-22,2021-04-22,2021-03-01,2021-03-01,ERX5169512,SAMEA8158185,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:30:37Z,2021-03-01T15:09:17Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8158185,cov-100001684510,ERS5844953,ERP127218,cov-100001684510,SARS-Cov2 Haut-de-France samples,220221-43,assembly,70,95670480,16095206,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1"
ERR5384574,AMPLICON,PRJEB43269,SAMEA8158188,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-22,not provided,public,2021-04-22,2021-04-22,2021-03-01,2021-03-01,ERX5169515,SAMEA8158188,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:30:37Z,2021-03-01T15:09:17Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8158188,cov-100001691279,ERS5844956,ERP127218,cov-100001691279,SARS-Cov2 Haut-de-France samples,220221-46,assembly,70,66239959,10788318,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1"
ERR5384582,AMPLICON,PRJEB43269,SAMEA8158196,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-22,not provided,public,2021-04-22,2021-04-22,2021-03-01,2021-03-01,ERX5169523,SAMEA8158196,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:30:37Z,2021-03-01T15:09:17Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8158196,cov-881046170389,ERS5844964,ERP127218,cov-881046170389,SARS-Cov2 Haut-de-France samples,220221-54,assembly,70,76153648,13294070,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1"
ERR5384587,AMPLICON,PRJEB43269,SAMEA8158201,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-22,not provided,public,2021-04-22,2021-04-22,2021-03-01,2021-03-01,ERX5169528,SAMEA8158201,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:30:37Z,2021-03-01T15:09:17Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8158201,cov-100001696433,ERS5844969,ERP127218,cov-100001696433,SARS-Cov2 Haut-de-France samples,220221-59,assembly,70,80667787,13724765,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1"
ERR5384589,AMPLICON,PRJEB43269,SAMEA8158203,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-22,not provided,public,2021-04-22,2021-04-22,2021-03-01,2021-03-01,ERX5169530,SAMEA8158203,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:30:37Z,2021-03-01T15:09:17Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8158203,cov-100001684686,ERS5844971,ERP127218,cov-100001684686,SARS-Cov2 Haut-de-France samples,220221-61,assembly,70,91702851,15170384,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1"
ERR5384648,AMPLICON,PRJEB43269,SAMEA8158262,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-22,not provided,public,2021-04-22,2021-04-22,2021-03-01,2021-03-01,ERX5169589,SAMEA8158262,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:30:37Z,2021-03-01T15:09:18Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8158262,cov-881046350282,ERS5845030,ERP127218,cov-881046350282,SARS-Cov2 Haut-de-France samples,220221-120,assembly,70,103180444,16952708,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1"
ERR5384654,AMPLICON,PRJEB43269,SAMEA8158268,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-22,not provided,public,2021-04-22,2021-04-22,2021-03-01,2021-03-01,ERX5169595,SAMEA8158268,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:30:37Z,2021-03-01T15:09:18Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8158268,cov-881046350285,ERS5845036,ERP127218,cov-881046350285,SARS-Cov2 Haut-de-France samples,220221-126,assembly,70,57708679,10801518,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1"
ERR5384569,AMPLICON,PRJEB43269,SAMEA8158183,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-22,not provided,public,2021-04-22,2021-04-22,2021-03-01,2021-03-01,ERX5169510,SAMEA8158183,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:30:37Z,2021-03-01T15:09:17Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8158183,cov-100001696344,ERS5844951,ERP127218,cov-100001696344,SARS-Cov2 Haut-de-France samples,220221-41,assembly,70,95649791,15941267,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1"
ERR5384578,AMPLICON,PRJEB43269,SAMEA8158192,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-22,not provided,public,2021-04-22,2021-04-22,2021-03-01,2021-03-01,ERX5169519,SAMEA8158192,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:30:37Z,2021-03-01T15:09:17Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8158192,cov-100001685183,ERS5844960,ERP127218,cov-100001685183,SARS-Cov2 Haut-de-France samples,220221-50,assembly,70,101479812,17390464,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1"
ERR5384583,AMPLICON,PRJEB43269,SAMEA8158197,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-22,not provided,public,2021-04-22,2021-04-22,2021-03-01,2021-03-01,ERX5169524,SAMEA8158197,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:30:37Z,2021-03-01T15:09:17Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8158197,cov-100001684670,ERS5844965,ERP127218,cov-100001684670,SARS-Cov2 Haut-de-France samples,220221-55,assembly,70,73016847,13196029,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1"
ERR5384593,AMPLICON,PRJEB43269,SAMEA8158207,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-22,not provided,public,2021-04-22,2021-04-22,2021-03-01,2021-03-01,ERX5169534,SAMEA8158207,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:30:37Z,2021-03-01T15:09:17Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8158207,cov-100001696437,ERS5844975,ERP127218,cov-100001696437,SARS-Cov2 Haut-de-France samples,220221-65,assembly,70,98441570,16645821,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1"
ERR5384597,AMPLICON,PRJEB43269,SAMEA8158211,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-22,not provided,public,2021-04-22,2021-04-22,2021-03-01,2021-03-01,ERX5169538,SAMEA8158211,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:30:37Z,2021-03-01T15:09:17Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8158211,cov-100001691256,ERS5844979,ERP127218,cov-100001691256,SARS-Cov2 Haut-de-France samples,220221-69,assembly,71,75691842,13005095,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1"
ERR5384601,AMPLICON,PRJEB43269,SAMEA8158215,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-22,not provided,public,2021-04-22,2021-04-22,2021-03-01,2021-03-01,ERX5169542,SAMEA8158215,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:30:37Z,2021-03-01T15:09:17Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8158215,cov-100001684718,ERS5844983,ERP127218,cov-100001684718,SARS-Cov2 Haut-de-France samples,220221-73,assembly,70,92579383,16712884,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1"
ERR5384603,AMPLICON,PRJEB43269,SAMEA8158217,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-22,not provided,public,2021-04-22,2021-04-22,2021-03-01,2021-03-01,ERX5169544,SAMEA8158217,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:30:37Z,2021-03-01T15:09:17Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8158217,cov-100001691257,ERS5844985,ERP127218,cov-100001691257,SARS-Cov2 Haut-de-France samples,220221-75,assembly,71,75169346,12382929,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1"
ERR5384611,AMPLICON,PRJEB43269,SAMEA8158225,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-22,not provided,public,2021-04-22,2021-04-22,2021-03-01,2021-03-01,ERX5169552,SAMEA8158225,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:30:37Z,2021-03-01T15:09:17Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8158225,cov-100001699004,ERS5844993,ERP127218,cov-100001699004,SARS-Cov2 Haut-de-France samples,220221-83,assembly,70,91763426,15705161,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1"
ERR5384649,AMPLICON,PRJEB43269,SAMEA8158263,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-22,not provided,public,2021-04-22,2021-04-22,2021-03-01,2021-03-01,ERX5169590,SAMEA8158263,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:30:37Z,2021-03-01T15:09:18Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8158263,cov-100001684944,ERS5845031,ERP127218,cov-100001684944,SARS-Cov2 Haut-de-France samples,220221-121,assembly,70,107490993,17687890,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1"
ERR5384653,AMPLICON,PRJEB43269,SAMEA8158267,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-22,not provided,public,2021-04-22,2021-04-22,2021-03-01,2021-03-01,ERX5169594,SAMEA8158267,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:30:37Z,2021-03-01T15:09:18Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8158267,cov-100001701886,ERS5845035,ERP127218,cov-100001701886,SARS-Cov2 Haut-de-France samples,220221-125,assembly,70,107090063,18118464,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1"
ERR5384655,AMPLICON,PRJEB43269,SAMEA8158269,UMR 1283/8199,"Synlab\, Haut-de-France",2021-02-22,not provided,public,2021-04-22,2021-04-22,2021-03-01,2021-03-01,ERX5169596,SAMEA8158269,France,Europe,France,Haut-de-France,not provided,Homo sapiens,not provided,UMR 1283/8199,UMR 1283/8199,2021-04-22T00:30:37Z,2021-03-01T15:09:18Z,public,NextSeq 500,unspecified,SINGLE,PCR,VIRAL RNA,Severe acute respiratory syndrome coronavirus 2,ILLUMINA,2021-04-23T00:00:00Z,active surveillance in response to outbreak,SAMEA8158269,cov-100001684972,ERS5845037,ERP127218,cov-100001684972,SARS-Cov2 Haut-de-France samples,220221-127,assembly,70,90997452,15500079,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1"
